dialog,image,k,blur,line,tamil_dialog
"Months later, the dream becomes reality.",panel001.png,7,3,5,"மாதங்கள் கழித்து, கனவு உண்மையாகிறது."
This place feels like home!,panel002.png,9,3,5,'இந்த இடம் இல்லமாக உணருகிறது!'
It’s more than just chai. It’s about connection.,panel003.png,6,3,5,'இதுதான் வெறும் சாய் அல்ல. இது தொடர்புக்கானது.'
"And this is where the magic happens, people!",panel004.png,7,3,5,"மாயம் இங்கே நிகழ்கிறது, மக்களே!"
"This is what we were meant to do. Something real, something lasting.",panel005.png,9,3,5,"இதுதான் நமக்கு செய்யவேண்டியதைச் சார்ந்தது. உண்மையானது, நிலையானது."
We didn’t just chase a dream. We built a home away from home.,panel006.png,6,3,5,'நாங்கள் வெறும் கனவைப் பின்தொடர்ந்தோம். நாங்கள் வீட்டுக்கு வெளியே ஒரு இல்லத்தை கட்டினோம்.'
One cup of chai at a time!,panel007.png,7,3,5,'ஒரு கிண்ண சாய்க்கு ஒரு முறை!'
"And remember, folks, it all started with me!",panel008.png,5,3,5,"மணவனை, இது எனது மூலம் தொடங்கியது என்பதை நினைவில் வைத்துக்கொள்ளுங்கள்!"
"Oh please, Dev, it started with the chai. You’re just the side show.",panel009.png,6,3,5,"ஓ, தயவுசெய்து, தேவ், இது சாயிலால் தொடங்கியது. நீங்கள் வெறும் புறச்சோட்டம்."
The end... or just the beginning of a very caffeinated future.,panel010.png,7,3,5,'முடிவு... அல்லது ஒரு மிகவும் காபி நிறைந்த எதிர்காலத்தின் தொடக்கம்.'
"""Your Routine will be our Rou'Tea'n!""",panel011.png,6,3,5,"உங்கள் அட்டவணை எங்கள் Rou'Tea'n ஆக இருக்கும்!"
Kaavya Loganathan - 002317475,panel012.png,7,3,5,Kaavya Loganathan - 002317475
Ranjithnath Karunanidhi - 002317425,panel013.png,7,3,5,Ranjithnath Karunanidhi - 002317425
